synthetic_id,generated_text,gt_is_help_request,gt_classification_category,gt_location_name,gt_google_map_url,gt_lat,gt_lng,gt_victim_name,gt_victim_phone,gt_victim_gender,gt_victim_nickname,gt_reporter_name,gt_reporter_phone,gt_reporter_gender,gt_reporter_nickname,gt_victims_json,gt_dead,gt_critical,gt_urgent,gt_safe,gt_child,gt_bedridden,gt_item_firstaid,gt_item_food,gt_item_energy,source_template_id
SYN_NER_001,"ช่วยด้วยค่ะ ใครอยู่ใกล้พิกัดนี้รบกวนหน่อยนะคะ 13.4553, 100.6719 ฮานะเองค่ะ ติดอยู่ตรงนี้ออกมาไม่ได้เลย 😭 

ตอนนี้มีผู้ใหญ่ 2 คน ตอนนี้แม่มีแผลฉีกขาดที่ต้นแขน เลือดไหลซึมชุ่มผ้าพันแผลกดยังไงก็ไม่หยุดสนิท ส่วนอีกคนมีอาการเมื่อยเอว บ่นปวดตึงเนื้อตัวธรรมดา ตื่นดี ไม่มีอาการทางคลินิกน่ากังวล ค่ะ 

ใครพอจะประสานงานหน่วยกู้ภัยหรือเข้ามาช่วยได้ ติดต่อฮานะที่เบอร์ 064 733 8778 ได้เลยนะ ขอบคุณมากค่ะ 🙏🏻
พิกัด: https://maps.app.goo.gl/0DHsy6k9Uf",True,help_request,,https://maps.app.goo.gl/0DHsy6k9Uf,13.4553,100.6719,นางสาวฮานะ,064 733 8778,female,ฮานะ,นางสาวฮานะ,064 733 8778,female,ฮานะ,"[{""name"": null, ""age"": 54, ""age_group"": ""adult"", ""age_disclosure"": ""indirect"", ""gender"": ""female"", ""triage_color"": ""YELLOW"", ""symptoms_literal"": ""มีแผลฉีกขาดที่ต้นแขน เลือดไหลซึมชุ่มผ้าพันแผลกดยังไงก็ไม่หยุดสนิท"", ""is_bedridden"": false}, {""name"": null, ""age"": 19, ""age_group"": ""adult"", ""age_disclosure"": ""indirect"", ""gender"": ""female"", ""triage_color"": ""GREEN"", ""symptoms_literal"": ""เมื่อยเอว บ่นปวดตึงเนื้อตัวธรรมดา ตื่นดี ไม่มีอาการทางคลินิกน่ากังวล"", ""is_bedridden"": false}]",0,0,1,1,0,0,0,0,0,792
SYN_NER_002,ช่วยด้วยครับ ผมซูไฮมีย์ ติดอยู่ตรงนี้ครับ ตอนนี้ผมเป็นผู้ป่วยติดเตียงอยู่ด้วย แล้วดันลื่นล้มสะบ้าเข่าหลุด เข่าบิดเบี้ยวบวมใหญ่ เจ็บจนงอไม่ได้เลย ขยับไม่ได้แล้วครับ แถมตอนนี้หิวมากครับเพราะไม่มีอะไรกินเลย พิกัดตามนี้เลยนะครับ https://maps.app.goo.gl/vLNQFlWFjW ใครพอจะช่วยได้ติดต่อผมด่วนเลยนะครับ 081 573 3539 🙏🚨,True,help_request,,https://maps.app.goo.gl/vLNQFlWFjW,0.0,0.0,ซูไฮมีย์,081 573 3539,male,,ซูไฮมีย์,081 573 3539,male,,"[{""name"": ""ซูไฮมีย์"", ""age"": null, ""age_group"": ""adult"", ""age_disclosure"": ""indirect"", ""gender"": ""male"", ""triage_color"": ""YELLOW"", ""symptoms_literal"": ""ลื่นล้มสะบ้าเข่าหลุด เข่าบิดเบี้ยวบวมใหญ่ เจ็บจนงอไม่ได้เลย"", ""is_bedridden"": true}]",0,0,1,0,0,1,0,1,0,1004
SYN_NER_003,รบกวนขอความช่วยเหลือหน่อยค่ะ พอดีมีคนติดอยู่ด้วยกัน 2 คนค่ะ หลานสาวอายุ 9 ขวบแกหกล้มข้อเท้าแพลงแดงนิดหน่อย บ่นเจ็บแต่ยังเดินกะเผลกๆ ได้ ส่วนน้าองคตแกมีแผลมีดบาดขนาดเล็กที่นิ้วโป้ง เลือดหยุดไหลสนิทแล้ว ทาแผลล้างแล้ว ตอนนี้ไม่ค่อยมีอะไรหนักหนาค่ะ แต่อยากให้พี่อาสาเข้ามาดูหน่อย หรือแนะนำจุดอพยพให้ทีนะคะ พิกัดตามนี้เลยค่ะ https://maps.app.goo.gl/QPz0AFrDr1,True,help_request,,https://maps.app.goo.gl/QPz0AFrDr1,0.0,0.0,สุมินตรา,,female,,อาลาวียะ,,female,,"[{""name"": null, ""age"": 9, ""age_group"": ""child"", ""age_disclosure"": ""direct"", ""gender"": ""female"", ""triage_color"": ""GREEN"", ""symptoms_literal"": ""หลานสาวหกล้มข้อเท้าแพลงแดงนิดหน่อย บ่นเจ็บแต่ยังเดินกะเผลกๆ ได้"", ""is_bedridden"": false}, {""name"": ""น้าองคต"", ""age"": null, ""age_group"": ""adult"", ""age_disclosure"": ""indirect"", ""gender"": ""male"", ""triage_color"": ""GREEN"", ""symptoms_literal"": ""มีแผลมีดบาดขนาดเล็กที่นิ้วโป้ง เลือดหยุดไหลสนิทแล้ว ทาแผลล้างแล้ว"", ""is_bedridden"": false}]",0,0,0,2,1,0,0,0,0,1116
SYN_NER_004,"ช่วยด้วยค่ะ ใครก็ได้ช่วยหน่อย ตอนนี้ติดอยู่ในพื้นที่หมู่บ้านป่าแฝก ตำบลป่าแฝก อำเภอป่าแดด จังหวัดพะเยา พิกัด 19.717, 100.9798 https://maps.app.goo.gl/Bn767D4NrV 

หนูชื่อเมย์ (สิมิลัน พันธ์โคตร) เบอร์ติดต่อ 096-177-4868 ค่ะ ตอนนี้มีคนเจ็บอยู่ 2 คน 

คนแรกมีอาการผู้ป่วยมีอาการวูบ วูบหมดสติไปสั้นๆ แล้วฟื้นขึ้นมา บ่นเวียนหัวทรงตัวไม่ได้ อีกคนคือตาธนาณัติ ตอนนี้คอบวมเป่งโตอักเสบมาก เจ็บคอรุนแรงจนกลืนน้ำและอาหารไม่ได้เลยค่ะ 

ต้องการความช่วยเหลือเร่งด่วนมาก ขออุปกรณ์ปฐมพยาบาล อาหาร และไฟส่องสว่างด้วยค่ะ ใครเห็นโพสต์นี้หรือหน่วยงานไหนอยู่ใกล้ ช่วยติดต่อกลับทีนะคะ ขอบคุณค่ะ 🙏😭",True,help_request,หมู่บ้านป่าแฝก ตำบลป่าแฝก อำเภอป่าแดด จังหวัดพะเยา,https://maps.app.goo.gl/Bn767D4NrV,19.717,100.9798,สิมิลัน พันธ์โคตร,096-177-4868,female,เมย์,สิมิลัน พันธ์โคตร,096-177-4868,female,เมย์,"[{""name"": null, ""age"": null, ""age_group"": ""adult"", ""age_disclosure"": ""indirect"", ""gender"": ""female"", ""triage_color"": ""YELLOW"", ""symptoms_literal"": ""ผู้ป่วยมีอาการวูบ วูบหมดสติไปสั้นๆ แล้วฟื้นขึ้นมา บ่นเวียนหัวทรงตัวไม่ได้"", ""is_bedridden"": false}, {""name"": ""ตาธนาณัติ"", ""age"": 36, ""age_group"": ""adult"", ""age_disclosure"": ""indirect"", ""gender"": ""male"", ""triage_color"": ""YELLOW"", ""symptoms_literal"": ""คอบวมเป่งโตอักเสบมาก เจ็บคอรุนแรงจนกลืนน้ำและอาหารไม่ได้เลย"", ""is_bedridden"": false}]",0,0,2,0,0,0,18,1,1,1333
SYN_NER_005,แจ้งเตือนพื้นที่เฝ้าระวังค่ะ! ตอนนี้มวลน้ำกำลังเคลื่อนตัวเข้าสู่พื้นที่เขตโซนต่ำ ต.รอบนอก เตรียมขนของขึ้นที่สูงและย้ายรถไปไว้ในที่ปลอดภัยกันด้วยนะคะ ใครมีอะไรอัปเดตสถานการณ์น้ำในซอยรายงานกันไว้ได้เลยค่ะ ระวังเรื่องกระแสไฟฟ้าด้วยนะคะทุกคน ⛈️⚠️,False,other,,,0.0,0.0,,,,,,,,,[],0,0,0,0,0,0,0,0,0,236
SYN_NER_006,แจ้งเตือนพี่น้องโซนลุ่มต่ำเตรียมตัวกันด้วยนะครับ! กรมอุตุฯ ล่าสุดแจ้งว่าฝนจะตกหนักต่อเนื่องอีก 1-2 วันนี้ เฝ้าระวังระดับน้ำกันด้วยนะ เก็บของขึ้นที่สูงและเช็คปลั๊กไฟให้ดีด้วยครับ เป็นห่วงทุกคนจริงๆ ⚠️⛈️,False,other,,,0.0,0.0,,,,,,,,,[],0,0,0,0,0,0,0,0,0,132
SYN_NER_007,"ช่วยด้วยค่ะ!! ตอนนี้อาการแย่มากค่ะ หญิงตั้งครรภ์ความดันโลหิตขึ้นสูงทะลุ 180 ปวดขมับตึ้บๆ เหมือนหัวจะระเบิด ตัวฉันเองน้าฮัซนาอยู่กับคนไข้ตอนนี้ต้องการชุดปฐมพยาบาลด่วนๆ เลยค่ะ ใครอยู่ใกล้ช่วยประสานงานหน่อยนะคะ 😭🙏

พิกัดตามนี้เลยค่ะ 
https://maps.app.goo.gl/nWHW8bP0DG",True,help_request,,https://maps.app.goo.gl/nWHW8bP0DG,0.0,0.0,น้าฮัซนา,,female,พาย,น้าฮัซนา,,female,พาย,"[{""name"": null, ""age"": 36, ""age_group"": ""adult"", ""age_disclosure"": ""direct"", ""gender"": ""male"", ""triage_color"": ""RED"", ""symptoms_literal"": ""หญิงตั้งครรภ์ความดันโลหิตขึ้นสูงทะลุ 180 ปวดขมับตึ้บๆ เหมือนหัวจะระเบิด"", ""is_bedridden"": false}]",0,1,0,0,0,0,7,0,0,592
SYN_NER_008,"ขอความช่วยเหลือด่วนเลยครับ ที่หมู่บ้านบ้านไร่ ตำบลแม่ลาว อำเภอเมืองเชียงราย จังหวัดเชียงราย ติดกันหนักมากครับ ตอนนี้มีทั้งเด็กและผู้ป่วยติดเตียงติดอยู่ข้างใน 😭

น้องจิตวิสุทธิ์เป็นเด็กเล็กทารกนอนนิ่งเงียบ ปลุกไม่ตื่น ตัวไม่ขยับ เลยครับ แล้วเด็กหญิงอีกคนอายุ 9 ขวบก็อาการหนักมาก ช็อกเนื่องจากเสียเลือดมาก ตัวซีดขาว ท้องอืดเย็น ส่วนคุณลุงผู้ป่วยติดเตียงมีอาการคันผิวหนังตามขาเนื่องจากแพ้น้ำ ล้างน้ำสะอาดและปกติสุขดี

ต้องการความช่วยเหลือทางการแพทย์กับอาหารด่วนเลยครับ พิกัดนี้เลยครับ https://maps.app.goo.gl/HU7dT2Iid6 ใครมีเรือหรือกู้ภัยช่วยเข้ามาดูทีครับ อาสตาร์กังวลมาก 🙏🚨",True,help_request,หมู่บ้านบ้านไร่ ตำบลแม่ลาว อำเภอเมืองเชียงราย จังหวัดเชียงราย,https://maps.app.goo.gl/HU7dT2Iid6,0.0,0.0,จิตวิสุทธิ์,,male,,อาสตาร์,,male,สตาร์,"[{""name"": ""จิตวิสุทธิ์"", ""age"": 2, ""age_group"": ""child"", ""age_disclosure"": ""indirect"", ""gender"": ""male"", ""triage_color"": ""RED"", ""symptoms_literal"": ""ทารกนอนนิ่งเงียบ ปลุกไม่ตื่น ตัวไม่ขยับ"", ""is_bedridden"": false}, {""name"": null, ""age"": 68, ""age_group"": ""adult"", ""age_disclosure"": ""indirect"", ""gender"": ""male"", ""triage_color"": ""GREEN"", ""symptoms_literal"": ""คันผิวหนังตามขาเนื่องจากแพ้น้ำ ล้างน้ำสะอาดและปกติสุขดี"", ""is_bedridden"": true}, {""name"": null, ""age"": 9, ""age_group"": ""child"", ""age_disclosure"": ""direct"", ""gender"": ""female"", ""triage_color"": ""RED"", ""symptoms_literal"": ""ช็อกเนื่องจากเสียเลือดมาก ตัวซีดขาว ท้องอืดเย็น"", ""is_bedridden"": false}]",0,2,0,1,2,1,1,1,0,1544
SYN_NER_009,ขอส่งกำลังใจให้ทุกคนในพื้นที่ประสบภัยนะคะ ขอให้สถานการณ์คลี่คลายลงโดยเร็วและขอให้ทุกคนปลอดภัยค่ะ สู้ๆ นะคะทุกคน ✌️❤️ 🇹🇭,False,other,,,0.0,0.0,,,,,,,,,[],0,0,0,0,0,0,0,0,0,589
SYN_NER_010,ใครก็ได้ช่วยด้วยครับ ผมชื่อลุงอภิวัติ สงค์มณี ติดอยู่ตรงหมู่บ้านดอนมูล ต.ดอนมูล อ.ดอนมูล จ.มหาสารคาม ตอนนี้ผมปวดเมื่อยไหล่และคอ บิดขยับได้ดี รู้วันเวลาสถานที่ปกติธรรมดา แต่ว่าอาหารกับยาทำแผลไม่มีเลยครับ ใครพอจะเข้ามาช่วยได้บ้างรบกวนติดต่อผมหน่อยนะครับ 0831657348 ขอบคุณมากครับ 🙏😭,True,help_request,หมู่บ้านดอนมูล ต.ดอนมูล อ.ดอนมูล จ.มหาสารคาม,,0.0,0.0,ลุงอภิวัติ สงค์มณี,0831657348,male,ลูคัส,ลุงอภิวัติ สงค์มณี,0831657348,male,ลูคัส,"[{""name"": ""ลุงอภิวัติ สงค์มณี"", ""age"": null, ""age_group"": ""adult"", ""age_disclosure"": ""indirect"", ""gender"": ""male"", ""triage_color"": ""GREEN"", ""symptoms_literal"": ""ปวดเมื่อยไหล่และคอ บิดขยับได้ดี รู้วันเวลาสถานที่ปกติธรรมดา"", ""is_bedridden"": false}]",0,0,0,1,0,0,1,1,0,1757
