synthetic_id,generated_text,gt_is_help_request,gt_classification_category,gt_location_name,gt_google_map_url,gt_lat,gt_lng,gt_victim_name,gt_victim_phone,gt_victim_gender,gt_victim_nickname,gt_reporter_name,gt_reporter_phone,gt_reporter_gender,gt_reporter_nickname,gt_victims_json,gt_dead,gt_critical,gt_urgent,gt_safe,gt_child,gt_bedridden,gt_item_firstaid,gt_item_food,gt_item_energy,source_template_id,generator_model
SYN_NER_001,"🚨ขอความช่วยเหลือค่ะ🚨  
ตอนนี้มีผู้หญิงอยู่ด้วยกัน 2 คน ติดอยู่ในพื้นที่ น้ำออกไปไม่ได้ค่ะ มีคนหนึ่งบาดเจ็บ ตอนนี้มีแผลฉีกขาดที่ต้นแขน เลือดไหลซึมชุ่มผ้าพันแผลกดยังไงก็ไม่หยุดสนิท 😭 อีกคนเมื่อยเอว บ่นปวดตึงเนื้อตัวธรรมดา ตื่นดี ไม่มีอาการทางคลินิกน่ากังวล แต่เริ่มลำบากแล้วค่ะ

หนูชื่อ นางสาวฮานะ โทร 064 733 8778 รบกวนกู้ภัยหรืออาสาช่วยเข้ามารับด้วยนะคะ 🙏  
พิกัด 13.4553, 100.6719  
https://maps.app.goo.gl/0DHsy6k9Uf",True,help_request,,https://maps.app.goo.gl/0DHsy6k9Uf,13.4553,100.6719,นางสาวฮานะ,064 733 8778,female,ฮานะ,นางสาวฮานะ,064 733 8778,female,ฮานะ,"[{""name"": null, ""age"": 54, ""age_group"": ""adult"", ""age_disclosure"": ""indirect"", ""gender"": ""female"", ""triage_color"": ""YELLOW"", ""symptoms_literal"": ""มีแผลฉีกขาดที่ต้นแขน เลือดไหลซึมชุ่มผ้าพันแผลกดยังไงก็ไม่หยุดสนิท"", ""is_bedridden"": false}, {""name"": null, ""age"": 19, ""age_group"": ""adult"", ""age_disclosure"": ""indirect"", ""gender"": ""female"", ""triage_color"": ""GREEN"", ""symptoms_literal"": ""เมื่อยเอว บ่นปวดตึงเนื้อตัวธรรมดา ตื่นดี ไม่มีอาการทางคลินิกน่ากังวล"", ""is_bedridden"": false}]",0,0,1,1,0,0,0,0,0,792,gpt-5.6-luna
SYN_NER_002,"ขอความช่วยเหลือด่วนครับ 🙏 ผมชื่อซูไฮมีย์ เป็นผู้ป่วยติดเตียง ตอนนี้ลื่นล้มสะบ้าเข่าหลุด เข่าบิดเบี้ยวบวมใหญ่ เจ็บจนงอไม่ได้เลย อยู่คนเดียวลำบากมากครับ ขอทีมกู้ภัยหรืออาสาช่วยพาไปรักษา และถ้ามีข้าวอาหารช่วยด้วยนะครับ

พิกัดครับ https://maps.app.goo.gl/vLNQFlWFjW  
ติดต่อผมได้ที่ 081 573 3539 😭",True,help_request,,https://maps.app.goo.gl/vLNQFlWFjW,0.0,0.0,ซูไฮมีย์,081 573 3539,male,,ซูไฮมีย์,081 573 3539,male,,"[{""name"": ""ซูไฮมีย์"", ""age"": null, ""age_group"": ""adult"", ""age_disclosure"": ""indirect"", ""gender"": ""male"", ""triage_color"": ""YELLOW"", ""symptoms_literal"": ""ลื่นล้มสะบ้าเข่าหลุด เข่าบิดเบี้ยวบวมใหญ่ เจ็บจนงอไม่ได้เลย"", ""is_bedridden"": true}]",0,0,1,0,0,1,0,1,0,1004,gpt-5.6-luna
SYN_NER_003,"ขอความช่วยเหลือหน่อยค่ะ 🙏 อาลาวียะขอแจ้งแทนสุมินตรา ตอนนี้มีเด็กผู้หญิงอายุ 9 ขวบกับน้าองคตอยู่ด้วยกัน ปลอดภัยแต่ต้องการให้ช่วยดูอาการค่ะ

หลานสาวหกล้มข้อเท้าแพลงแดงนิดหน่อย บ่นเจ็บแต่ยังเดินกะเผลกๆ ได้ ส่วนน้าองคตมีแผลมีดบาดขนาดเล็กที่นิ้วโป้ง เลือดหยุดไหลสนิทแล้ว ทาแผลล้างแล้ว

ใครอยู่ใกล้หรืออาสาผ่านมาช่วยตรวจดูให้หน่อยนะคะ ติดต่อสุมินตราไม่ได้ ฝากช่วยแชร์ด้วยค่ะ 🙏
พิกัด https://maps.app.goo.gl/QPz0AFrDr1",True,help_request,,https://maps.app.goo.gl/QPz0AFrDr1,0.0,0.0,สุมินตรา,,female,,อาลาวียะ,,female,,"[{""name"": null, ""age"": 9, ""age_group"": ""child"", ""age_disclosure"": ""direct"", ""gender"": ""female"", ""triage_color"": ""GREEN"", ""symptoms_literal"": ""หลานสาวหกล้มข้อเท้าแพลงแดงนิดหน่อย บ่นเจ็บแต่ยังเดินกะเผลกๆ ได้"", ""is_bedridden"": false}, {""name"": ""น้าองคต"", ""age"": null, ""age_group"": ""adult"", ""age_disclosure"": ""indirect"", ""gender"": ""male"", ""triage_color"": ""GREEN"", ""symptoms_literal"": ""มีแผลมีดบาดขนาดเล็กที่นิ้วโป้ง เลือดหยุดไหลสนิทแล้ว ทาแผลล้างแล้ว"", ""is_bedridden"": false}]",0,0,0,2,1,0,0,0,0,1116,gpt-5.6-luna
SYN_NER_004,"🚨ขอความช่วยเหลือด่วนค่ะ ติดอยู่ที่หมู่บ้านป่าแฝก ตำบลป่าแฝก อำเภอป่าแดด จังหวัดพะเยา

ตอนนี้มีคนป่วย 2 คน คนหนึ่งผู้ป่วยมีอาการวูบ วูบหมดสติไปสั้นๆ แล้วฟื้นขึ้นมา บ่นเวียนหัวทรงตัวไม่ได้ อีกคนคือตาธนาณัติ คอบวมเป่งโตอักเสบมาก เจ็บคอรุนแรงจนกลืนน้ำและอาหารไม่ได้เลย 😭

ขอทีมกู้ภัยหรืออาสาช่วยเข้ามาดูด่วนมาก ต้องการชุดปฐมพยาบาลประมาณ 18 ชุด อาหาร และไฟฉาย/แบตสำรองด้วยค่ะ

พิกัด https://maps.app.goo.gl/Bn767D4NrV  
พิกัด 19.717, 100.9798

เมย์ สิมิลัน พันธ์โคตร โทร 096-177-4868 ค่ะ 🙏🚨",True,help_request,หมู่บ้านป่าแฝก ตำบลป่าแฝก อำเภอป่าแดด จังหวัดพะเยา,https://maps.app.goo.gl/Bn767D4NrV,19.717,100.9798,สิมิลัน พันธ์โคตร,096-177-4868,female,เมย์,สิมิลัน พันธ์โคตร,096-177-4868,female,เมย์,"[{""name"": null, ""age"": null, ""age_group"": ""adult"", ""age_disclosure"": ""indirect"", ""gender"": ""female"", ""triage_color"": ""YELLOW"", ""symptoms_literal"": ""ผู้ป่วยมีอาการวูบ วูบหมดสติไปสั้นๆ แล้วฟื้นขึ้นมา บ่นเวียนหัวทรงตัวไม่ได้"", ""is_bedridden"": false}, {""name"": ""ตาธนาณัติ"", ""age"": 36, ""age_group"": ""adult"", ""age_disclosure"": ""indirect"", ""gender"": ""male"", ""triage_color"": ""YELLOW"", ""symptoms_literal"": ""คอบวมเป่งโตอักเสบมาก เจ็บคอรุนแรงจนกลืนน้ำและอาหารไม่ได้เลย"", ""is_bedridden"": false}]",0,0,2,0,0,0,18,1,1,1333,gpt-5.6-luna
SYN_NER_005,ขอส่งกำลังใจให้ทุกพื้นที่ที่กำลังเจอสถานการณ์น้ำท่วมนะคะ ขอให้ฝนหยุด ระดับน้ำลดลงเร็วๆ และทุกคนปลอดภัยค่ะ 🙏💙,False,other,,,0.0,0.0,,,,,,,,,[],0,0,0,0,0,0,0,0,0,236,gpt-5.6-luna
SYN_NER_006,"เปิดรับบริจาคข้าวสาร อาหารแห้ง น้ำดื่ม และของใช้จำเป็น เพื่อนำไปจัดถุงยังชีพช่วยผู้ประสบภัยน้ำท่วมครับ 🙏  
ใครสะดวกร่วมสมทบสิ่งของหรือแรงอาสา ทักเพจศูนย์ประสานงานในพื้นที่ได้เลยนะครับ ขอบคุณทุกน้ำใจ ❤️",False,other,,,0.0,0.0,,,,,,,,,[],0,0,0,0,0,0,0,0,0,132,gpt-5.6-luna
SYN_NER_007,"ขอความช่วยเหลือด่วนค่ะ 😭  
น้าฮัซนา (พาย) ขอความช่วยเหลือให้ผู้ชายอายุ 36 ปี ตอนนี้มีผู้หญิงตั้งครรภ์ความดันโลหิตขึ้นสูงทะลุ 180 ปวดขมับตึ้บๆ เหมือนหัวจะระเบิด อาการหนักมากค่ะ ขอทีมกู้ภัยหรือทีมแพทย์เข้าช่วยด่วนเลยนะคะ 🙏🚨

ต้องการชุดปฐมพยาบาล 7 ชุดค่ะ  
พิกัดตามแผนที่นี้นะคะ https://maps.app.goo.gl/nWHW8bP0DG",True,help_request,,https://maps.app.goo.gl/nWHW8bP0DG,0.0,0.0,น้าฮัซนา,,female,พาย,น้าฮัซนา,,female,พาย,"[{""name"": null, ""age"": 36, ""age_group"": ""adult"", ""age_disclosure"": ""direct"", ""gender"": ""male"", ""triage_color"": ""RED"", ""symptoms_literal"": ""หญิงตั้งครรภ์ความดันโลหิตขึ้นสูงทะลุ 180 ปวดขมับตึ้บๆ เหมือนหัวจะระเบิด"", ""is_bedridden"": false}]",0,1,0,0,0,0,7,0,0,592,gpt-5.6-luna
SYN_NER_008,หมู่บ้านบ้านไร่ ตำบลแม่ลาว อำเภอเมืองเชียงราย จังหวัดเชียงราย มีใครเข้าไปช่วยได้บ้างครับ เดือดร้อนหนักมาก 😭 จิตวิสุทธิ์เป็นทารกนอนนิ่งเงียบ ปลุกไม่ตื่น ตัวไม่ขยับ อีกคนเด็กผู้หญิง 9 ขวบช็อกเนื่องจากเสียเลือดมาก ตัวซีดขาว ท้องอืดเย็น ต้องการทีมแพทย์ด่วนมากๆ ครับ 🙏 มีคุณตาผู้ป่วยติดเตียงอยู่ด้วย คันผิวหนังตามขาเนื่องจากแพ้น้ำ ล้างน้ำสะอาดและปกติสุขดี ขอชุดปฐมพยาบาลกับอาหารด้วยครับ ติดต่ออาสตาร์ได้เลย ไม่มีเบอร์ รบกวนใครเข้าไปถึงช่วยแจ้งด้วยนะครับ แผนที่ https://maps.app.goo.gl/HU7dT2Iid6 🚨,True,help_request,หมู่บ้านบ้านไร่ ตำบลแม่ลาว อำเภอเมืองเชียงราย จังหวัดเชียงราย,https://maps.app.goo.gl/HU7dT2Iid6,0.0,0.0,จิตวิสุทธิ์,,male,,อาสตาร์,,male,สตาร์,"[{""name"": ""จิตวิสุทธิ์"", ""age"": 2, ""age_group"": ""child"", ""age_disclosure"": ""indirect"", ""gender"": ""male"", ""triage_color"": ""RED"", ""symptoms_literal"": ""ทารกนอนนิ่งเงียบ ปลุกไม่ตื่น ตัวไม่ขยับ"", ""is_bedridden"": false}, {""name"": null, ""age"": 68, ""age_group"": ""adult"", ""age_disclosure"": ""indirect"", ""gender"": ""male"", ""triage_color"": ""GREEN"", ""symptoms_literal"": ""คันผิวหนังตามขาเนื่องจากแพ้น้ำ ล้างน้ำสะอาดและปกติสุขดี"", ""is_bedridden"": true}, {""name"": null, ""age"": 9, ""age_group"": ""child"", ""age_disclosure"": ""direct"", ""gender"": ""female"", ""triage_color"": ""RED"", ""symptoms_literal"": ""ช็อกเนื่องจากเสียเลือดมาก ตัวซีดขาว ท้องอืดเย็น"", ""is_bedridden"": false}]",0,2,0,1,2,1,1,1,0,1544,gpt-5.6-luna
SYN_NER_009,"**อัปเดตสถานการณ์ค่ะ**

ถนนรัตนอุทิศ ซอย 5 ตอนนี้ยังมีน้ำขังเป็นช่วง ๆ ระดับน้ำเริ่มทรงตัวแล้ว แต่การสัญจรยังไม่สะดวก แนะนำหลีกเลี่ยงเส้นทางนี้ไปก่อนนะคะ 🙏🌧️",False,other,,,0.0,0.0,,,,,,,,,[],0,0,0,0,0,0,0,0,0,589,gpt-5.6-luna
SYN_NER_010,ช่วยลุงอภิวัติ สงค์มณี (ลูคัส) ด้วยครับ ตอนนี้อยู่ที่หมู่บ้านดอนมูล ต.ดอนมูล อ.ดอนมูล จ.มหาสารคาม ปวดเมื่อยไหล่และคอ บิดขยับได้ดี รู้วันเวลาสถานที่ปกติธรรมดา ต้องการอาหารกับชุดปฐมพยาบาลเบื้องต้นครับ ติดต่อผมได้ที่ 0831657348 ขอความช่วยเหลือหน่วยงานหรืออาสาด่วนๆ ด้วยครับ 🙏,True,help_request,หมู่บ้านดอนมูล ต.ดอนมูล อ.ดอนมูล จ.มหาสารคาม,,0.0,0.0,ลุงอภิวัติ สงค์มณี,0831657348,male,ลูคัส,ลุงอภิวัติ สงค์มณี,0831657348,male,ลูคัส,"[{""name"": ""ลุงอภิวัติ สงค์มณี"", ""age"": null, ""age_group"": ""adult"", ""age_disclosure"": ""indirect"", ""gender"": ""male"", ""triage_color"": ""GREEN"", ""symptoms_literal"": ""ปวดเมื่อยไหล่และคอ บิดขยับได้ดี รู้วันเวลาสถานที่ปกติธรรมดา"", ""is_bedridden"": false}]",0,0,0,1,0,0,1,1,0,1757,gpt-5.6-luna
