synthetic_id,generated_text,gt_is_help_request,gt_classification_category,gt_location_name,gt_google_map_url,gt_lat,gt_lng,gt_victim_name,gt_victim_phone,gt_victim_gender,gt_victim_nickname,gt_reporter_name,gt_reporter_phone,gt_reporter_gender,gt_reporter_nickname,gt_victims_json,gt_dead,gt_critical,gt_urgent,gt_safe,gt_child,gt_bedridden,gt_item_firstaid,gt_item_food,gt_item_energy,source_template_id,generator_model
SYN_NER_GPT_V2_0001,"ขอร่วมบริจาคช่วยผู้ประสบภัยหน่อยค่ะ 5/18  
นิพัทธ์สงเคราะห์ 1 ซ.3 วงเวียนน้ำพุ ซอยตรงข้ามร้านส้มตำก๊ะส๊ะ ตอนนี้หลายครอบครัวต้องอพยพออกจากบ้าน น้ำท่วมสูงและทรัพย์สินเสียหาย หากสะดวกช่วยสมทบทุนผ่านศูนย์รับบริจาคในพื้นที่ เพื่อจัดซื้ออาหาร น้ำดื่ม และของจำเป็นสำหรับผู้ประสบภัยด้วยนะคะ",False,other,,,0.0,0.0,,,,,,,,,[],0,0,0,0,0,0,0,0,0,1542,gpt-5.6-luna
SYN_NER_GPT_V2_0002,ขอเชิญร่วมบริจาคสิ่งของจำเป็นและสมทบทุนช่วยเหลือผู้ประสบภัยน้ำท่วมในพื้นที่ภาคเหนือ ผ่านหน่วยงานและมูลนิธิที่น่าเชื่อถือ ทุกการช่วยเหลือจะถูกส่งต่ออย่างโปร่งใส ขอเป็นกำลังใจให้ผู้ประสบภัยทุกคนครับ,False,other,,,0.0,0.0,,,,,,,,,[],0,0,0,0,0,0,0,0,0,1318,gpt-5.6-luna
SYN_NER_GPT_V2_0003,ขอส่งกำลังใจและภาวนาให้ทุกคนที่ได้รับผลกระทบจากเหตุการณ์ครั้งนี้ปลอดภัย ขอให้สถานการณ์คลี่คลายโดยเร็ว และเจ้าหน้าที่ทุกฝ่ายปฏิบัติงานอย่างราบรื่นค่ะ,False,other,,,0.0,0.0,,,,,,,,,[],0,0,0,0,0,0,0,0,0,1400,gpt-5.6-luna
SYN_NER_GPT_V2_0004,"🚨ขอความช่วยเหลือด่วนค่ะ มีผู้ประสบภัย 3 คน อาการน่าเป็นห่วงมาก

ผู้ชายสูงอายุหมดสติ หน้าซีด เรียกไม่รู้สึกตัว  
น้องพลอยรุ้งมีผื่นแดงขึ้นเต็มตัว ลามเร็วและเริ่มมีไข้  
อีกคนเป็นหญิงตั้งครรภ์ ปวดท้องหน่วง มีตกขาวจนเปียกกางเกงและมีไข้รุมๆ

พิกัด https://maps.app.goo.gl/idpkhYxEk4LD  
ละติจูด 17.4281 ลองจิจูด 99.2025

รบกวนทีมกู้ภัยหรือผู้ที่อยู่ใกล้ช่วยเข้าช่วยเหลือด่วนค่ะ ติดต่อคุณแวน (พรรษวุฒิ) หรือ ณัฐติญา จันทร์มา ได้เลย ตอนนี้ต้องการความช่วยเหลือฉุกเฉินมากค่ะ 🙏🚨",True,help_request,,https://maps.app.goo.gl/idpkhYxEk4LD,17.4281,99.2025,ณัฐติญา จันทร์มา,,female,,นายพรรษวุฒิ,,male,แวน,"[{""name"": null, ""age"": 75, ""age_group"": ""adult"", ""age_disclosure"": ""direct"", ""gender"": ""male"", ""triage_color"": ""RED"", ""symptoms_literal"": ""ผู้บาดเจ็บสลบนิ่งหน้าซีดเผือด ไม่รู้สึกตัวแล้ว เรียกแล้วนิ่งสนิท"", ""is_bedridden"": false}, {""name"": ""น้องพลอยรุ้ง"", ""age"": 9, ""age_group"": ""child"", ""age_disclosure"": ""indirect"", ""gender"": ""female"", ""triage_color"": ""YELLOW"", ""symptoms_literal"": ""มีผื่นแดงเห่อขึ้นเต็มตัวน้องอย่างรวดเร็ว ผื่นลามและเริ่มมีไข้ต่ำๆ"", ""is_bedridden"": false}, {""name"": null, ""age"": 82, ""age_group"": ""adult"", ""age_disclosure"": ""direct"", ""gender"": ""female"", ""triage_color"": ""YELLOW"", ""symptoms_literal"": ""หญิงตั้งครรภ์มีอาการปวดท้องหน่วงๆ ร่วมกับมีตกขาวชุ่มกางเกง มีไข้รุมๆ"", ""is_bedridden"": false}]",0,1,2,0,1,0,0,0,10,1859,gpt-5.6-luna
SYN_NER_GPT_V2_0005,"ขอความช่วยเหลือที่ป่าซางใต้ครับ ตอนนี้มีผู้ใหญ่สองคนล้มเจ็บเล็กน้อย คนหนึ่งอายุ 78 ปีมีแผลถลอกที่เข่ากับศอก อีกคนเจ็บก้นแต่ยังเดินได้ ต้องการชุดปฐมพยาบาลกับอาหารครับ ติดต่อทะเลสาบ เดชอิศม์ 082 270 3247 พิกัด 13.1353, 98.6342 🙏",True,help_request,ป่าซางใต้,,13.1353,98.6342,เดชอิศม์ เชื้อหลง,082 270 3247,male,ทะเลสาบ,เดชอิศม์ เชื้อหลง,082 270 3247,male,ทะเลสาบ,"[{""name"": null, ""age"": 78, ""age_group"": ""adult"", ""age_disclosure"": ""direct"", ""gender"": ""male"", ""triage_color"": ""GREEN"", ""symptoms_literal"": ""มีแผลถลอกตื้นๆ ที่เข่าและศอก เลือดหยุดไหลนานแล้ว เดินปกติได้"", ""is_bedridden"": false}, {""name"": null, ""age"": null, ""age_group"": ""adult"", ""age_disclosure"": ""indirect"", ""gender"": ""male"", ""triage_color"": ""GREEN"", ""symptoms_literal"": ""สะดุดล้มก้นกระแทก เจ็บก้นบิดเล็กน้อย บ่นระบมแต่เดินเหินได้ดี"", ""is_bedridden"": false}]",0,0,0,2,0,0,1,1,0,1654,gpt-5.6-luna
SYN_NER_GPT_V2_0006,ขอความช่วยเหลือด่วนค่ะ ที่อำเภอเมืองบึงกาฬ คุณวิทย์ ปาโส ชื่อน้องเป้ อายุ 5 ขวบ ช็อกจากเสียเลือดมาก ตัวซีดขาว ท้องอืดเย็น อาการหนักมาก ต้องการอาหารค่ะ ติดต่อคุณวิทย์ 0640103007 🙏,True,help_request,อำเภอเมืองบึงกาฬ,,0.0,0.0,คุณวิทย์ ปาโส,0640103007,male,เป้,ยายสุธิดา,,female,รินดา,"[{""name"": ""คุณวิทย์ ปาโส"", ""age"": 5, ""age_group"": ""child"", ""age_disclosure"": ""direct"", ""gender"": ""male"", ""triage_color"": ""RED"", ""symptoms_literal"": ""ช็อกเนื่องจากเสียเลือดมาก ตัวซีดขาว ท้องอืดเย็น"", ""is_bedridden"": false}]",0,1,0,0,1,0,0,1,0,1561,gpt-5.6-luna
SYN_NER_GPT_V2_0007,"ขอความช่วยเหลือด่วนครับ ตอนนี้มีผู้ประสบภัยอยู่ 3 คน เด็ก 4 ขวบชื่อกาฟิวส์ หน้าเขียวคล้ำ ปลายมือปลายเท้าเขียว ปากเขียวมาก ขอทีมแพทย์เข้าช่วยด่วน อีกคนเป็นผู้ชายอายุ 57 ปี ปวดท้องเฉียบพลัน ต้องผ่าตัดด่วนครับ

มีเด็กอีกคนอายุ 3 ขวบ คันตามตัว มีตุ่มแดงเหมือนยุงกัดเล็กน้อย ตอนนี้ยังพอไหว ขออาหารกับไฟฉายหรือแบตสำรองด้วยครับ

พิกัดอยู่ที่นี่ครับ https://maps.app.goo.gl/Vfnlf0to4Wb8  
รบกวนช่วยประสานทีมกู้ภัยให้หน่อยค่ะ ฝนติดต่อจากทางบ้านค่ะ",True,help_request,,https://maps.app.goo.gl/Vfnlf0to4Wb8,0.0,0.0,กาฟิวส์,,male,กาฟิวส์,นางสมิตตา,,female,ฝน,"[{""name"": ""กาฟิวส์"", ""age"": 4, ""age_group"": ""child"", ""age_disclosure"": ""direct"", ""gender"": ""male"", ""triage_color"": ""RED"", ""symptoms_literal"": ""หน้าเขียวคล้ำ ปลายมือปลายเท้าเขียว ปากพิมพ์น้ำเงิน"", ""is_bedridden"": false}, {""name"": null, ""age"": 3, ""age_group"": ""child"", ""age_disclosure"": ""indirect"", ""gender"": ""male"", ""triage_color"": ""GREEN"", ""symptoms_literal"": ""น้องบ่นคันตามผิวหนัง มีตุ่มแดงยุงกัด 3-4 จุด ทายาหม่องก็ทุเลา"", ""is_bedridden"": false}, {""name"": null, ""age"": 57, ""age_group"": ""adult"", ""age_disclosure"": ""direct"", ""gender"": ""male"", ""triage_color"": ""YELLOW"", ""symptoms_literal"": ""ผู้ป่วยจำเป็นต้องได้รับการผ่าตัดด่วน มีอาการปวดช่องท้องเฉียบพลัน"", ""is_bedridden"": false}]",0,1,1,1,2,0,0,1,1,687,gpt-5.6-luna
SYN_NER_GPT_V2_0008,"🙏 ขอความช่วยเหลือด่วนมากค่ะ น้าประมุขแจ้งว่าคุณเลาะกับผู้ป่วยอีกสองคนติดอยู่ในพื้นที่น้ำท่วม มีหญิงตั้งครรภ์ความดันขึ้นสูงกว่า 180 ปวดหัวตุบๆ เหมือนหัวจะระเบิด และคุณลุงวัย 77 ปีช็อกจากเสียเลือด ตัวเย็น ซีด หายใจแผ่วมาก ต้องการทีมแพทย์เข้าช่วยเหลือด่วนค่ะ

ขอชุดปฐมพยาบาลหลายชุด และอาหารเสริมพลังงานด้วยนะคะ ตอนนี้อาการหนักทั้งคู่ ติดต่อคุณเลาะได้ที่ 069-995-7443

พิกัดส่งให้ทางนี้ค่ะ  
https://maps.app.goo.gl/GCKjrwEusk6I",True,help_request,,https://maps.app.goo.gl/GCKjrwEusk6I,0.0,0.0,เลาะ,069-995-7443,male,,น้าประมุข,,male,,"[{""name"": null, ""age"": null, ""age_group"": ""adult"", ""age_disclosure"": ""indirect"", ""gender"": ""female"", ""triage_color"": ""RED"", ""symptoms_literal"": ""หญิงตั้งครรภ์ความดันโลหิตขึ้นสูงทะลุ 180 ปวดขมับตึ้บๆ เหมือนหัวจะระเบิด"", ""is_bedridden"": false}, {""name"": null, ""age"": 77, ""age_group"": ""adult"", ""age_disclosure"": ""indirect"", ""gender"": ""male"", ""triage_color"": ""RED"", ""symptoms_literal"": ""คนไข้ช็อกจากการเสียเลือด ตัวเย็นเฉียบ ซีดเผือด ลมหายใจแผ่วเหนื่อย"", ""is_bedridden"": false}]",0,2,0,0,0,0,14,0,1,633,gpt-5.6-luna
SYN_NER_GPT_V2_0009,"🙏 ขอส่งกำลังใจให้ผู้ใหญ่ 3 คนและเด็ก 3 คนที่ติดอยู่บนชั้น 2 บริเวณเขต 8 (สายกลาง) ขอให้ทุกคนปลอดภัย อดทน และได้รับความช่วยเหลือโดยเร็ว โดยเฉพาะเด็ก 2 คนที่มีอาการไข้ ขอให้ปลอดภัยและอาการดีขึ้นนะครับ 🙏🥹

📍 ร้านน้ำเต้าหู้เพื่อสุขภาพพี่ภา  
55 ถนนรัตนอุทิศ ตำบลหาดใหญ่ อำเภอหาดใหญ่ สงขลา 90110",False,other,,,0.0,0.0,,,,,,,,,[],0,0,0,0,0,0,0,0,0,801,gpt-5.6-luna
SYN_NER_GPT_V2_0010,"🚨📢 ขอรับการสนับสนุนสิ่งของจำเป็น 📢🚨  
ชาวบ้านพื้นที่บ้านคลองวาด 1 ข้างซอย 9 ตำบลท่าช้าง อำเภอบางกล่ำ จังหวัดสงขลา ได้รับผลกระทบจากน้ำท่วม ระดับน้ำยังเพิ่มขึ้นต่อเนื่อง หลายครอบครัวต้องย้ายออกจากบ้านชั่วคราว  

ขอเชิญร่วมบริจาคน้ำดื่ม อาหารแห้ง ยาประจำตัว ผ้าอ้อมเด็กและผู้ใหญ่ รวมถึงไฟฉายและถ่าน เพื่อนำไปช่วยเหลือผู้ประสบภัยในพื้นที่ ผู้มีจิตศรัทธาสามารถติดต่อประสานงานกับผู้นำชุมชนหรือหน่วยงานท้องถิ่นเพื่อส่งมอบสิ่งของได้  

ขอขอบคุณทุกน้ำใจที่ร่วมช่วยเหลือผู้ประสบภัยครับ  
#น้ำท่วมสงขลา #ร่วมบริจาค #ช่วยเหลือผู้ประสบภัย",False,other,,,0.0,0.0,,,,,,,,,[],0,0,0,0,0,0,0,0,0,413,gpt-5.6-luna
